#{"t_start": 1777198689.1238875, "env_id": "HalfCheetah-v4"}
r,l,t
206.109567,1000,316.134902
328.764823,1000,317.28497
21.683192,1000,318.492091
202.527752,1000,319.789571
172.434334,1000,321.033469
243.960089,1000,322.326692
339.921478,1000,323.531315
347.131534,1000,324.714234
445.142485,1000,325.875293
335.190256,1000,327.18293
385.870982,1000,328.388463
468.488405,1000,329.581925
439.004036,1000,330.749606
349.07097,1000,331.947908
319.332439,1000,333.143796
265.85799,1000,334.326469
377.980756,1000,335.540302
197.572104,1000,336.739743
347.758734,1000,337.861408
387.241829,1000,339.1353
278.613774,1000,340.334406
343.99089,1000,341.580363
584.928979,1000,342.709411
531.89234,1000,343.92159
463.94179,1000,345.125329
322.832789,1000,346.268112
738.999313,1000,347.527825
552.599359,1000,348.699841
569.255996,1000,349.913105
594.40674,1000,351.064537
604.950946,1000,352.180785
356.123056,1000,353.452532
512.460447,1000,354.6228
395.691857,1000,355.977411
489.397585,1000,357.284389
1300.644913,1000,358.597213
1051.010033,1000,359.867082
547.981042,1000,361.198466
809.145896,1000,362.397676
513.257972,1000,363.672936
491.739521,1000,364.799658
564.05471,1000,366.081399
518.501055,1000,367.404358
1218.253245,1000,368.614832
1070.234849,1000,369.815353
709.06828,1000,370.999223
798.460899,1000,372.137248
710.896642,1000,373.280648
791.313704,1000,374.73116
757.89948,1000,376.161904
1233.974681,1000,377.301874
544.387819,1000,378.536706
593.977786,1000,379.71675
1469.372933,1000,380.879772
1630.34892,1000,382.174969
1836.958594,1000,383.409121
1103.237788,1000,384.583261
786.429143,1000,385.796715
1744.408278,1000,387.085724
1359.330425,1000,388.266532
784.04041,1000,389.630006
622.837514,1000,391.026756
536.601537,1000,392.237712
623.00008,1000,393.594454
612.385726,1000,394.749
2031.497743,1000,396.076056
1801.172745,1000,397.203006
732.732987,1000,398.322662
574.644192,1000,399.546343
924.755454,1000,400.765119
1728.902501,1000,402.03808
2118.162971,1000,403.182667
2049.686102,1000,404.39396
803.466151,1000,405.630807
2345.478312,1000,406.872015
1228.160602,1000,408.098222
1628.453651,1000,409.416981
2053.236355,1000,410.65611
2361.114053,1000,411.778652
1111.89715,1000,412.972006
1010.970516,1000,414.133981
2175.144053,1000,415.418418
2042.36624,1000,416.631799
723.637307,1000,417.932871
1000.618633,1000,419.077091
2405.267189,1000,420.346395
2177.083668,1000,421.585622
880.947762,1000,422.782778
2149.169633,1000,423.97648
584.821872,1000,425.146464
2122.186019,1000,426.27012
1518.061984,1000,427.502177
1723.014806,1000,428.630374
2011.563858,1000,430.052796
1338.051499,1000,431.44064
647.334546,1000,432.635246
759.568886,1000,433.719723
1523.382124,1000,434.997063
1888.652703,1000,436.198364
955.04403,1000,437.800929
1387.147336,1000,439.092416
2463.382116,1000,440.406874
1886.663856,1000,441.672665
1296.311402,1000,442.842063
633.93871,1000,444.037891
2838.397562,1000,445.200695
895.48742,1000,446.316881
1912.992559,1000,447.457504
852.158243,1000,448.727774
