timesteps,episode_return
16400,-49.224918
16450,-49.411177
16500,-49.385676
16550,-47.480228
16600,-55.294903
16650,-49.687686
16700,-43.100659
16750,-52.832217
16800,-45.860286
16850,-56.134657
16900,-47.488094
16950,-53.910602
17000,-45.416849
17050,-59.677404
17100,-49.264312
17150,-55.963229
17200,-53.067517
17250,-43.346451
17300,-51.827542
17350,-51.431505
17400,-50.937993
17450,-49.805004
17500,-51.549159
17550,-45.655232
17600,-51.952215
17650,-45.608311
17700,-49.599882
17750,-47.912065
17800,-49.692157
17850,-45.143915
17900,-47.258895
17950,-53.845163
18000,-50.694905
18050,-50.410903
18100,-55.981326
18150,-53.051364
18200,-49.212883
18250,-52.305179
18300,-54.223922
18350,-57.027609
18400,-43.540881
18450,-43.846703
18500,-52.084812
18550,-42.664607
18600,-58.67672
18650,-52.22408
18700,-42.592078
18750,-51.46763
18800,-50.481493
18850,-44.970173
18900,-36.778971
18950,-51.203643
19000,-48.423973
19050,-51.710421
19100,-56.23013
19150,-44.267818
19200,-50.937192
19250,-51.522384
19300,-40.697037
19350,-47.844266
19400,-48.198937
19450,-46.665392
19500,-42.499915
19550,-48.103193
19600,-52.056091
19650,-53.368757
19700,-57.022766
19750,-40.385085
19800,-42.989789
19850,-49.237281
19900,-47.385741
19950,-47.373529
20000,-43.70895
20050,-56.676115
20100,-56.679817
20150,-40.011327
20200,-51.436603
20250,-44.032167
20300,-44.128426
20350,-52.272994
20400,-46.664194
20450,-50.878676
20500,-50.907449
20550,-51.957285
20600,-47.793413
20650,-46.316899
20700,-52.050894
20750,-47.26192
20800,-49.557446
20850,-55.544641
20900,-50.832867
20950,-49.375824
21000,-57.502378
21050,-46.32478
21100,-50.085729
21150,-48.692607
21200,-43.561872
21250,-45.258677
21300,-53.761123
21350,-49.057385
21400,-47.033668
21450,-56.844467
21500,-54.443974
21550,-45.891284
21600,-46.863263
21650,-44.789962
21700,-46.959212
21750,-50.755097
21800,-49.177582
21850,-48.522152
21900,-45.005598
21950,-48.219607
22000,-51.607996
22050,-47.557859
22100,-42.436373
22150,-42.364837
22200,-50.061765
22250,-54.523798
22300,-40.298807
22350,-42.383544
22400,-46.927479
22450,-41.970506
22500,-49.823515
22550,-47.073474
22600,-45.658639
22650,-42.587272
22700,-41.330351
22750,-45.715382
22800,-52.46758
22850,-38.346078
22900,-51.51872
22950,-47.76957
23000,-55.394907
23050,-45.467543
23100,-48.449367
23150,-51.79471
23200,-42.378643
23250,-47.822064
23300,-48.090453
23350,-53.023551
23400,-50.595605
23450,-38.028872
23500,-43.58621
23550,-52.202904
23600,-49.301331
23650,-47.181651
23700,-55.503905
23750,-54.799962
23800,-44.93501
23850,-53.927357
23900,-41.43932
23950,-49.746384
24000,-48.750147
24050,-53.27857
24100,-44.285279
24150,-49.959487
24200,-47.108124
24250,-51.726454
24300,-39.286276
24350,-45.267896
24400,-53.581275
24450,-50.199194
24500,-51.407723
24550,-38.37496
24600,-50.202875
24650,-52.032958
24700,-47.060009
24750,-44.424152
24800,-50.606153
24850,-47.370284
24900,-48.284272
24950,-45.382234
25000,-44.855295
25050,-50.293237
25100,-45.178438
25150,-49.050696
25200,-46.765574
25250,-51.250532
25300,-49.473911
25350,-50.876877
25400,-49.087456
25450,-50.980736
25500,-44.640126
25550,-47.868119
25600,-47.166715
25650,-55.726706
25700,-51.248319
25750,-52.971686
25800,-45.380072
25850,-46.319209
25900,-46.247633
25950,-58.835567
26000,-49.741418
26050,-52.510063
26100,-52.82703
26150,-56.092263
26200,-51.397026
26250,-50.843556
26300,-49.498247
26350,-54.199738
26400,-42.157151
26450,-56.35118
26500,-54.51808
26550,-44.882403
26600,-48.392271
26650,-53.377752
26700,-54.613214
26750,-59.019552
26800,-54.543929
26850,-50.04049
26900,-55.221896
26950,-55.152082
27000,-49.63764
27050,-44.264351
27100,-55.315721
27150,-56.031909
27200,-57.998901
27250,-46.446019
27300,-48.517835
27350,-49.040678
27400,-54.527009
27450,-56.694313
27500,-55.712199
27550,-57.310879
27600,-46.731503
27650,-50.551542
27700,-51.090323
27750,-46.818826
27800,-53.105387
27850,-45.838951
27900,-48.756402
27950,-44.942077
28000,-48.08978
28050,-49.592469
28100,-58.986475
28150,-57.546669
28200,-52.005261
28250,-44.429379
28300,-45.205489
28350,-49.849311
28400,-46.42865
28450,-53.251959
28500,-51.487987
28550,-48.751213
28600,-44.503618
28650,-50.55652
28700,-51.46352
28750,-53.277935
28800,-60.253539
28850,-52.318359
28900,-53.998486
28950,-57.888443
29000,-54.325279
29050,-59.054142
29100,-52.452744
29150,-46.172849
29200,-51.777165
