timesteps,episode_return
269000,243.960089
270000,339.921478
271000,347.131534
272000,445.142485
273000,335.190256
274000,385.870982
275000,468.488405
276000,439.004036
277000,349.07097
278000,319.332439
279000,265.85799
280000,377.980756
281000,197.572104
282000,347.758734
283000,387.241829
284000,278.613774
285000,343.99089
286000,584.928979
287000,531.89234
288000,463.94179
289000,322.832789
290000,738.999313
291000,552.599359
292000,569.255996
293000,594.40674
294000,604.950946
295000,356.123056
296000,512.460447
297000,395.691857
298000,489.397585
299000,1300.644913
300000,1051.010033
301000,547.981042
302000,809.145896
303000,513.257972
304000,491.739521
305000,564.05471
306000,518.501055
307000,1218.253245
308000,1070.234849
309000,709.06828
310000,798.460899
311000,710.896642
312000,791.313704
313000,757.89948
314000,1233.974681
315000,544.387819
316000,593.977786
317000,1469.372933
318000,1630.34892
319000,1836.958594
320000,1103.237788
321000,786.429143
322000,1744.408278
323000,1359.330425
324000,784.04041
325000,622.837514
326000,536.601537
327000,623.00008
328000,612.385726
329000,2031.497743
330000,1801.172745
331000,732.732987
332000,574.644192
333000,924.755454
334000,1728.902501
335000,2118.162971
336000,2049.686102
337000,803.466151
338000,2345.478312
339000,1228.160602
340000,1628.453651
341000,2053.236355
342000,2361.114053
343000,1111.89715
344000,1010.970516
345000,2175.144053
346000,2042.36624
347000,723.637307
348000,1000.618633
349000,2405.267189
350000,2177.083668
351000,880.947762
352000,2149.169633
353000,584.821872
354000,2122.186019
355000,1518.061984
356000,1723.014806
357000,2011.563858
358000,1338.051499
359000,647.334546
360000,759.568886
361000,1523.382124
362000,1888.652703
363000,955.04403
364000,1387.147336
365000,2463.382116
366000,1886.663856
367000,1296.311402
368000,633.93871
369000,2838.397562
370000,895.48742
371000,1912.992559
372000,852.158243
373000,646.622545
374000,828.231255
375000,641.119174
376000,836.45576
377000,1861.436338
378000,1174.276223
379000,1423.918857
380000,1143.870968
381000,697.706224
382000,2692.785501
383000,1273.287248
384000,780.514521
385000,1563.217559
386000,758.078152
387000,1664.205456
388000,756.997751
389000,2762.32382
390000,2751.88864
391000,3354.471104
392000,1518.549394
393000,693.629331
394000,960.169605
395000,901.230545
396000,1080.98519
397000,1408.827928
398000,981.664942
399000,976.683922
400000,312.863873
401000,960.595622
402000,1022.989654
403000,1190.423376
404000,977.509199
405000,1450.853358
406000,1993.060177
407000,925.463581
408000,2028.274488
409000,758.411643
410000,932.821657
411000,947.979591
412000,1013.232672
413000,647.285428
414000,1298.919548
415000,1328.642773
416000,1705.634241
417000,716.062357
418000,791.773888
419000,817.249498
420000,1885.944516
421000,919.097513
422000,1343.180682
423000,1788.346051
424000,2858.345599
425000,1328.07158
426000,707.256502
427000,1838.986074
428000,1707.828983
429000,3211.878277
430000,1095.2455
431000,2626.329055
432000,808.322025
433000,2489.835169
434000,1333.62266
435000,1671.40116
436000,1348.211428
437000,1119.643234
438000,2592.856304
439000,892.171153
440000,2244.964681
441000,846.190231
442000,1344.33583
443000,2887.848943
444000,1555.987838
445000,3066.430075
446000,3189.059953
447000,1917.252641
448000,2931.4908
449000,1463.64598
450000,2853.306533
451000,3194.258398
452000,1446.394633
453000,2322.011231
454000,881.55894
455000,2749.947213
456000,1121.980039
457000,1250.1128
458000,2990.452648
459000,3123.455631
460000,2952.286471
461000,3042.818262
462000,2904.341508
463000,783.133129
464000,1457.767017
465000,2979.524342
466000,3108.721259
467000,2935.102878
468000,2034.752724
469000,2136.24956
470000,2903.622505
471000,2951.245109
472000,3213.044654
473000,3043.487143
474000,1585.382284
475000,3480.81286
476000,3105.945308
477000,3511.103086
478000,3204.380847
479000,1494.282478
480000,3137.775101
481000,2119.857495
482000,3477.742732
483000,3004.670921
484000,3211.744596
485000,1151.063729
486000,853.214364
487000,1755.137474
488000,1314.338897
489000,1007.910628
490000,1888.770504
491000,1962.223969
492000,2835.043829
493000,3665.844474
494000,3203.451017
495000,2762.818475
496000,3336.037613
497000,3507.991724
498000,1391.616403
499000,3389.962575
500000,3430.169506
501000,1909.066066
502000,3579.710311
503000,3304.725555
504000,2628.377595
505000,3485.90654
506000,3464.873749
507000,3521.601644
508000,3430.522565
509000,1676.553182
510000,984.201676
511000,1981.738849
512000,2146.81784
513000,3149.467039
514000,3456.735191
515000,1474.032752
516000,1762.573517
517000,2835.999963
518000,1484.404404
519000,3307.857897
520000,3651.013536
521000,3181.563374
522000,3269.818476
523000,2624.570755
524000,3565.689702
525000,3591.72055
526000,1341.868277
527000,2130.97935
528000,932.998191
529000,3475.438693
530000,3508.276917
531000,1007.807484
532000,3511.495889
533000,3518.628418
534000,2466.627928
535000,3320.414222
536000,3103.256442
537000,3587.794481
538000,3549.400181
539000,3559.980788
540000,3324.891286
541000,1415.07655
542000,3533.935624
543000,3509.578204
544000,2509.827868
545000,3323.623914
546000,3292.202031
547000,3439.525629
548000,3694.501714
549000,3480.158627
550000,1212.678894
551000,2117.206063
552000,3622.823872
553000,736.17259
554000,3294.455496
555000,3641.690595
556000,1465.62229
557000,3408.780585
558000,1764.954012
559000,3599.776767
560000,3458.900912
561000,3363.152133
562000,3641.047471
563000,3779.141098
564000,3461.916183
565000,2847.038973
566000,3421.077649
567000,3497.715368
568000,3450.346984
569000,3411.892298
570000,2114.582791
571000,3531.994945
572000,3331.912512
573000,3197.064173
574000,3661.799721
575000,3344.95844
576000,3599.306541
577000,3599.975312
578000,3630.621048
579000,3564.80532
580000,3658.437885
581000,1181.62536
582000,3675.135739
583000,3551.12515
584000,3694.006824
585000,3670.759641
586000,3776.360849
587000,3583.064682
588000,3768.402629
589000,3702.760316
590000,3770.577553
591000,3638.444999
592000,3549.435191
593000,3582.334217
594000,3738.671214
595000,3623.579097
596000,3904.219451
597000,3846.432477
598000,3533.89023
599000,3862.897919
600000,4048.318963
601000,3831.681384
602000,3976.544331
603000,3831.328626
604000,3931.464911
605000,3619.510172
606000,3571.237361
607000,3877.634626
608000,3816.179229
609000,3855.835684
610000,3835.401716
611000,3777.185729
612000,763.432943
613000,3810.412103
614000,3627.941133
615000,3920.754428
616000,3824.160007
617000,2691.170811
618000,3787.854998
619000,3784.555574
620000,1527.886001
621000,3618.570887
622000,3720.86167
623000,3065.882415
624000,3872.430685
625000,4060.833368
626000,1617.63592
627000,609.140884
628000,802.29185
629000,3907.332143
630000,1275.128387
631000,4053.337323
632000,3863.938289
633000,2258.806806
634000,3505.8156
635000,4084.995359
636000,3503.810779
637000,3973.752691
638000,3620.225631
639000,2228.944851
640000,1422.126298
641000,3890.005739
642000,2711.171312
643000,4221.486688
644000,1574.03497
645000,4032.432353
646000,1343.922963
647000,3758.283332
648000,3988.107929
649000,4079.597048
650000,3068.296392
651000,1155.210717
652000,3135.621812
653000,4018.176519
654000,4022.930426
655000,2978.422751
656000,2901.972482
657000,2886.853339
658000,3704.576768
659000,4028.428092
660000,3087.785307
661000,3980.14752
662000,2779.344282
663000,4074.606164
664000,3833.125398
665000,4111.590718
666000,3727.163859
667000,4116.535952
668000,3797.976547
669000,1028.500485
670000,3978.637956
671000,2160.192873
672000,667.038449
673000,1137.494144
674000,4129.116231
675000,3864.900314
676000,2105.708498
677000,4094.812558
678000,4182.891481
679000,2646.685009
680000,1332.984482
681000,3262.243953
682000,1188.979289
683000,3908.326108
684000,3763.99084
685000,4062.465197
686000,4114.667167
687000,2902.432724
688000,4068.758004
689000,2121.095226
690000,3174.707755
691000,2346.256309
692000,4014.184562
693000,1042.272296
694000,4066.250995
695000,3179.83328
696000,4314.607725
697000,4318.487095
698000,1782.546106
699000,1702.548371
700000,4449.643709
701000,3790.34515
702000,4230.736077
703000,3998.412752
704000,4287.758407
705000,4107.328984
706000,4006.53113
707000,4348.906605
708000,4320.707962
709000,3293.976646
710000,4290.215212
711000,3534.088284
712000,1700.645308
713000,3045.538627
714000,3164.062567
715000,4094.786115
716000,2659.1977
717000,2486.250697
718000,2280.76658
719000,4075.228668
720000,4157.246983
721000,3872.471258
722000,4210.537326
723000,3759.091204
724000,4177.959754
725000,2505.493434
726000,4382.521286
727000,2742.771245
728000,681.325162
729000,4228.249372
730000,4028.78323
731000,563.198293
732000,759.046669
733000,4252.192791
734000,3285.258994
735000,4017.3533
736000,4149.913829
737000,4461.760785
738000,1944.301742
739000,4073.643932
740000,4459.422148
741000,3966.614261
742000,4230.48928
743000,4391.880234
744000,4108.259654
745000,4247.309897
746000,4272.235272
747000,4402.089327
748000,4300.400342
749000,2106.074132
750000,4148.824476
751000,4295.2937
752000,4214.257628
753000,3899.31403
754000,4372.069098
755000,3701.091553
756000,4218.014198
757000,4372.634322
758000,4269.625009
759000,4213.481838
760000,4333.99915
761000,4293.121178
762000,4482.661934
763000,4380.379865
764000,4362.112737
765000,884.194053
766000,1685.606082
