timesteps,episode_return
18550,-36.106856
18600,-35.49217
18650,-34.093644
18700,-28.639699
18750,-37.239492
18800,-33.968237
18850,-33.4014
18900,-32.746493
18950,-29.326193
19000,-30.251907
19050,-28.494496
19100,-33.808302
19150,-32.480894
19200,-32.784859
19250,-32.222323
19300,-28.284068
19350,-35.773313
19400,-37.702154
19450,-29.001744
19500,-31.007383
19550,-30.729748
19600,-36.528189
19650,-33.615003
19700,-34.789328
19750,-29.651317
19800,-28.066756
19850,-33.855167
19900,-34.536741
19950,-33.014713
20000,-32.248289
20050,-34.345262
20100,-33.993951
20150,-33.973499
20200,-34.541289
20250,-34.575164
20300,-31.224333
20350,-31.193879
20400,-31.143483
20450,-28.278434
20500,-31.801098
20550,-37.491015
20600,-33.544112
20650,-32.462242
20700,-38.910551
20750,-27.185503
20800,-31.407939
20850,-33.025093
20900,-36.507667
20950,-35.586238
21000,-30.991777
21050,-34.657185
21100,-30.393896
21150,-29.630848
21200,-26.968568
21250,-35.567233
21300,-27.423218
21350,-30.398186
21400,-27.764133
21450,-31.112889
21500,-30.936468
21550,-35.105161
21600,-31.919394
21650,-28.384276
21700,-35.311839
21750,-32.741786
21800,-31.795818
21850,-34.666252
21900,-33.942212
21950,-33.475543
22000,-33.866106
22050,-32.679737
22100,-33.490369
22150,-33.683272
22200,-31.070462
22250,-32.815159
22300,-26.280502
22350,-28.76947
22400,-37.018533
22450,-29.230744
22500,-32.930811
22550,-36.06592
22600,-29.841837
22650,-29.536449
22700,-28.788689
22750,-30.106532
22800,-28.599591
22850,-33.113905
22900,-36.621504
22950,-28.47094
23000,-38.852933
23050,-27.344251
23100,-33.128129
23150,-33.350712
23200,-26.715756
23250,-35.431101
23300,-28.134313
23350,-29.482332
23400,-31.759383
23450,-30.491007
23500,-35.18466
23550,-35.122269
23600,-30.937178
23650,-39.220117
23700,-37.302226
23750,-36.44301
23800,-32.080408
23850,-39.173242
23900,-28.709924
23950,-32.59861
24000,-33.308286
24050,-31.064282
24100,-28.856038
24150,-29.712821
24200,-29.780284
24250,-36.743982
24300,-30.865367
24350,-32.533533
24400,-28.994373
24450,-32.326417
24500,-31.563671
24550,-36.707365
24600,-33.135358
24650,-31.952049
24700,-34.313156
24750,-28.797216
24800,-31.516168
24850,-37.256196
24900,-30.259194
24950,-36.622875
25000,-34.394572
25050,-34.474047
25100,-31.280737
25150,-29.208072
25200,-27.883582
25250,-26.538292
25300,-29.791093
25350,-26.454799
25400,-31.938753
25450,-36.946897
25500,-30.775707
25550,-32.365096
25600,-31.915307
25650,-33.854064
25700,-34.5072
25750,-33.726347
25800,-28.444748
25850,-33.531424
25900,-25.540299
25950,-28.331035
26000,-33.402488
26050,-38.535282
26100,-31.404241
26150,-33.337096
26200,-30.050344
26250,-26.682475
26300,-31.149875
26350,-35.323231
26400,-33.536554
26450,-31.634087
26500,-33.779541
26550,-35.015868
26600,-32.119964
26650,-31.90789
26700,-33.049697
26750,-30.383586
26800,-26.19035
26850,-27.146359
26900,-31.013993
26950,-29.89346
27000,-29.612486
27050,-25.634736
27100,-30.482322
27150,-31.279144
27200,-29.162327
27250,-33.867406
27300,-29.445563
27350,-28.706331
27400,-37.328654
27450,-32.888396
27500,-33.714378
27550,-31.492396
27600,-29.793964
27650,-32.532618
27700,-36.883647
27750,-32.271851
27800,-33.181795
27850,-27.815537
27900,-34.376128
27950,-28.947668
28000,-31.562604
28050,-35.498852
28100,-24.456041
28150,-33.533267
28200,-36.494462
28250,-29.184853
28300,-28.276996
28350,-31.547531
28400,-29.649965
28450,-29.733841
