#{"t_start": 1777197052.5872521, "env_id": "Reacher-v4"}
r,l,t
-40.298807,50,12.671955
-42.383544,50,12.685747
-46.927479,50,12.69892
-41.970506,50,12.712487
-49.823515,50,12.725999
-47.073474,50,13.533333
-45.658639,50,13.557476
-42.587272,50,13.572948
-41.330351,50,13.58714
-45.715382,50,13.602168
-52.46758,50,13.615816
-38.346078,50,13.629661
-51.51872,50,13.643443
-47.76957,50,13.657386
-55.394907,50,13.671072
-45.467543,50,13.685538
-48.449367,50,13.698923
-51.79471,50,13.712157
-42.378643,50,13.725582
-47.822064,50,13.738918
-48.090453,50,13.752201
-53.023551,50,13.765301
-50.595605,50,13.778585
-38.028872,50,13.792532
-43.58621,50,13.805892
-52.202904,50,13.819461
-49.301331,50,13.832721
-47.181651,50,13.845993
-55.503905,50,13.859422
-54.799962,50,13.872862
-44.93501,50,13.886666
-53.927357,50,13.899979
-41.43932,50,13.91332
-49.746384,50,13.926519
-48.750147,50,13.940085
-53.27857,50,13.953625
-44.285279,50,13.967077
-49.959487,50,13.980445
-47.108124,50,13.994603
-51.726454,50,14.007832
-39.286276,50,14.021179
-45.267896,50,14.034507
-53.581275,50,14.048953
-50.199194,50,14.062565
-51.407723,50,14.075984
-38.37496,50,14.089648
-50.202875,50,14.856489
-52.032958,50,14.880171
-47.060009,50,14.895328
-44.424152,50,14.910855
-50.606153,50,14.925073
-47.370284,50,14.938637
-48.284272,50,14.952017
-45.382234,50,14.965253
-44.855295,50,14.978724
-50.293237,50,14.992527
-45.178438,50,15.005693
-49.050696,50,15.018686
-46.765574,50,15.03176
-51.250532,50,15.045146
-49.473911,50,15.058589
-50.876877,50,15.071949
-49.087456,50,15.085119
-50.980736,50,15.098815
-44.640126,50,15.112108
-47.868119,50,15.125209
-47.166715,50,15.138427
-55.726706,50,15.15198
-51.248319,50,15.165198
-52.971686,50,15.178505
-45.380072,50,15.192133
-46.319209,50,15.20525
-46.247633,50,15.218735
-58.835567,50,15.231941
-49.741418,50,15.245407
-52.510063,50,15.258713
-52.82703,50,15.271889
-56.092263,50,15.285275
-51.397026,50,15.299007
-50.843556,50,15.311986
-49.498247,50,15.325077
-54.199738,50,15.338186
-42.157151,50,15.351474
-56.35118,50,15.365049
-54.51808,50,15.378344
-44.882403,50,15.392078
-48.392271,50,15.405149
-53.377752,50,16.212798
-54.613214,50,16.231821
-59.019552,50,16.250431
-54.543929,50,16.264808
-50.04049,50,16.278571
-55.221896,50,16.293003
-55.152082,50,16.306392
-49.63764,50,16.320688
-44.264351,50,16.33416
-55.315721,50,16.34798
-56.031909,50,16.361678
-57.998901,50,16.375295
-46.446019,50,16.388919
-48.517835,50,16.403496
-49.040678,50,16.419127
-54.527009,50,16.432823
-56.694313,50,16.446767
-55.712199,50,16.460272
-57.310879,50,16.474216
-46.731503,50,16.487583
-50.551542,50,16.501931
-51.090323,50,16.515423
-46.818826,50,16.529341
-53.105387,50,16.542934
-45.838951,50,16.556641
-48.756402,50,16.570208
-44.942077,50,16.583664
-48.08978,50,16.597914
-49.592469,50,16.611269
-58.986475,50,16.625298
-57.546669,50,16.638731
-52.005261,50,16.652701
-44.429379,50,16.665874
-45.205489,50,16.679585
-49.849311,50,16.693445
-46.42865,50,16.706613
-53.251959,50,16.719765
-51.487987,50,16.733062
-48.751213,50,16.746379
-44.503618,50,16.759695
-50.55652,50,16.772959
-51.46352,50,17.571982
-53.277935,50,17.595546
-60.253539,50,17.610731
-52.318359,50,17.624316
-53.998486,50,17.637665
-57.888443,50,17.650853
-54.325279,50,17.664304
-59.054142,50,17.677464
-52.452744,50,17.690562
-46.172849,50,17.704458
-51.777165,50,17.717555
-53.304234,50,17.730644
-55.765575,50,17.74361
-50.506712,50,17.756993
-57.861928,50,17.770593
-51.939584,50,17.784178
-47.019353,50,17.797783
-48.882052,50,17.811006
-49.341607,50,17.824503
-57.623326,50,17.838116
-50.952717,50,17.851395
-55.590153,50,17.864773
-51.341988,50,17.878227
-53.42083,50,17.891543
-55.91066,50,17.905587
-59.513911,50,17.918712
-56.127945,50,17.932204
-61.20057,50,17.945609
-65.083625,50,17.958678
-63.823109,50,17.972016
-57.676206,50,17.985041
-52.979115,50,17.998604
-62.359214,50,18.012481
-54.156587,50,18.025839
-59.565215,50,18.039345
-48.952741,50,18.052669
-59.747945,50,18.066077
-57.670893,50,18.079401
-49.832749,50,18.092703
-45.779615,50,18.106488
-49.068669,50,18.119813
-53.343123,50,18.934158
-55.622732,50,18.958267
-51.850228,50,18.972973
-54.431663,50,18.98638
-47.17227,50,19.000036
-57.193745,50,19.013182
-60.896807,50,19.026495
-54.64878,50,19.039908
-52.147031,50,19.053451
-57.685137,50,19.066839
-55.320585,50,19.08021
-52.401216,50,19.093569
-53.058088,50,19.107368
-58.940125,50,19.120434
-56.691212,50,19.13383
-60.745625,50,19.147038
-52.27687,50,19.160368
-53.729095,50,19.173589
-55.550909,50,19.186901
-54.637261,50,19.200197
-49.427047,50,19.213339
-56.441428,50,19.226508
-50.853045,50,19.239777
-57.858899,50,19.252891
-54.569331,50,19.266118
-56.9973,50,19.279394
-58.908288,50,19.292649
-57.838558,50,19.306197
-53.335484,50,19.319114
-56.037546,50,19.332094
-47.451109,50,19.345349
-57.220002,50,19.358532
-58.647317,50,19.371776
-50.544035,50,19.385089
-55.416669,50,19.398287
-62.521158,50,19.411732
-51.083461,50,19.424927
-51.702496,50,19.438171
-52.789783,50,19.451405
-51.1997,50,19.464708
-56.806478,50,19.47821
-58.741797,50,20.301612
-48.697911,50,20.326891
-52.36293,50,20.341524
-61.063392,50,20.35606
-57.960222,50,20.36958
-61.815108,50,20.383445
-58.181626,50,20.396923
-54.433375,50,20.41179
-58.539971,50,20.425374
-66.903672,50,20.438955
-56.515108,50,20.45245
-57.427089,50,20.465878
-54.095279,50,20.479731
-55.644651,50,20.493016
-63.575431,50,20.507377
-49.622198,50,20.520867
-54.002697,50,20.534476
-61.180889,50,20.548038
-63.040449,50,20.561785
-67.196664,50,20.575417
-60.670761,50,20.588858
-50.409546,50,20.603077
-55.460591,50,20.616765
-59.799177,50,20.630187
-61.604559,50,20.643608
-62.432967,50,20.658268
-62.659193,50,20.67191
-55.605362,50,20.686304
-62.710625,50,20.700027
-51.387274,50,20.713866
-53.366364,50,20.726876
-52.506549,50,20.739847
-63.63387,50,20.752942
-54.898421,50,20.766124
-62.776139,50,20.779625
-49.733712,50,20.792976
-52.367993,50,20.806931
-53.949901,50,20.820046
-51.402844,50,20.833409
-58.110364,50,20.846724
-53.85992,50,20.860192
-54.887761,50,21.676025
-59.918585,50,21.699448
-56.968422,50,21.714861
-55.239901,50,21.728402
-58.67573,50,21.741992
-51.527998,50,21.755373
-61.763399,50,21.769041
-52.32752,50,21.782432
-53.432187,50,21.796002
-59.705899,50,21.809953
-62.361629,50,21.823538
-52.574255,50,21.837044
-59.382236,50,21.850525
-50.827331,50,21.864129
-54.615898,50,21.87767
-63.464322,50,21.891168
-49.507569,50,21.904662
-57.500057,50,21.918371
-49.650974,50,21.931915
-60.64727,50,21.945472
-52.375329,50,21.958811
-60.236468,50,21.972199
-67.757054,50,21.985637
-50.86568,50,21.999223
-60.19078,50,22.013221
-55.701659,50,22.026597
-59.935312,50,22.039909
-57.666216,50,22.053534
-53.589248,50,22.067079
-55.729021,50,22.080465
-58.945113,50,22.093982
-55.424282,50,22.107532
-64.663166,50,22.121547
-52.869252,50,22.134909
-53.804826,50,22.148357
-60.894577,50,22.1618
-53.725612,50,22.175297
-64.510697,50,22.188752
-54.919087,50,22.202393
-62.245788,50,22.216239
-53.309494,50,22.229832
-58.764507,50,22.688943
-53.697179,50,22.702641
-59.055735,50,22.721637
-57.816362,50,22.735847
-61.578794,50,22.749302
-58.913113,50,22.762873
-56.357513,50,22.776052
-64.658131,50,22.789583
-56.845288,50,22.80309
-53.160796,50,22.817376
-52.857381,50,22.831132
-55.732042,50,22.84463
-61.67763,50,22.85814
-51.433998,50,22.87154
-64.568514,50,22.885016
-48.556862,50,22.898533
-58.418141,50,22.912285
-57.756477,50,22.925705
-59.262444,50,22.939157
-60.575155,50,22.95288
-57.230166,50,22.966521
-66.867071,50,22.980031
-63.201558,50,22.993519
-59.930121,50,23.00712
-59.744277,50,23.021307
-50.382112,50,23.034946
-60.259079,50,23.048649
-66.300749,50,23.062299
-59.434559,50,23.075709
-54.47548,50,23.089222
-54.259916,50,23.102602
-60.657732,50,23.116664
-48.752126,50,23.130295
-53.803428,50,23.14365
-52.62198,50,23.157105
-60.076772,50,23.170508
-57.561567,50,23.184114
-59.194737,50,23.197333
-61.277286,50,23.210838
-58.075329,50,23.224884
-53.390007,50,23.238391
-60.528637,50,23.657528
-52.494213,50,23.670989
-63.13754,50,23.684454
-57.878064,50,23.697779
-64.355463,50,23.711156
-60.498243,50,23.724834
-55.698303,50,23.738202
-58.283508,50,23.751753
-57.455042,50,23.765393
-66.419712,50,23.778762
-57.594843,50,23.792139
-50.713338,50,23.805546
-54.355775,50,23.819453
-54.774282,50,23.833023
-60.567893,50,23.846495
-56.020052,50,23.860251
-53.143323,50,23.873557
-60.200515,50,23.886934
-52.657737,50,23.900544
-53.253513,50,23.913739
-53.994196,50,23.927252
-68.622903,50,23.940479
-51.056764,50,23.954189
-58.428995,50,23.967475
-56.473189,50,23.98076
-58.524239,50,23.994006
-54.366013,50,24.007216
-62.122094,50,24.020915
-60.530926,50,24.034587
-58.935517,50,24.048141
-51.442654,50,24.061539
-46.92182,50,24.07483
-60.331261,50,24.08813
-53.728173,50,24.101398
-62.684312,50,24.114712
-50.32028,50,24.128218
-59.544977,50,24.141743
-63.424482,50,24.155287
-60.703509,50,24.16855
-57.200649,50,24.181766
-55.23586,50,24.195017
-55.121065,50,24.612696
-51.347747,50,24.626172
-56.849558,50,24.639679
-61.701261,50,24.653321
-61.58739,50,24.667316
-57.010358,50,24.680811
-55.102,50,24.694187
-62.440887,50,24.707634
-56.302427,50,24.721541
-47.664441,50,24.735206
-59.980566,50,24.748699
-57.662964,50,24.762312
-55.621492,50,24.77562
-53.035041,50,24.789252
-55.148748,50,24.802567
-61.554102,50,24.815815
-51.914131,50,24.829851
-60.00518,50,24.84325
-60.04867,50,24.856872
-64.686993,50,24.870425
-56.710906,50,24.883813
-55.590709,50,24.897323
-54.551671,50,24.9104
-63.697426,50,24.923931
-59.663845,50,24.937133
-57.988213,50,24.950558
-53.847029,50,24.963927
-58.795424,50,24.977354
-62.747383,50,24.990712
-59.600074,50,25.004252
-63.805822,50,25.017565
-55.632801,50,25.030994
-58.76618,50,25.044357
-62.974843,50,25.05753
-55.199847,50,25.071071
-55.58195,50,25.084602
-71.215519,50,25.097945
-53.405664,50,25.111177
-63.757172,50,25.124806
-56.511422,50,25.138216
-47.157374,50,25.151421
-61.638507,50,25.571693
-58.496309,50,25.585066
-55.605316,50,25.599274
-60.358302,50,25.613084
-59.447787,50,25.627794
-58.234007,50,25.641175
-53.657371,50,25.655048
-59.119843,50,25.668642
-55.164817,50,25.681938
-58.514854,50,25.695531
-49.681406,50,25.708965
-60.130431,50,25.722748
-56.229959,50,25.736232
-60.412351,50,25.74946
-56.762648,50,25.763027
-62.416905,50,25.776451
-58.173502,50,25.789696
-60.833467,50,25.802858
-56.104697,50,25.816092
-55.654385,50,25.829781
-53.717968,50,25.843261
-53.021378,50,25.856535
-53.071953,50,25.869902
-58.376106,50,25.883274
-63.758418,50,25.896617
-53.133783,50,25.910005
-57.680954,50,25.923404
-60.020043,50,25.936906
-57.387231,50,25.950205
-57.57707,50,25.963673
-63.077604,50,25.976824
-49.884231,50,25.990209
-60.369962,50,26.003628
-60.639312,50,26.017363
-50.690857,50,26.031443
-60.559984,50,26.044788
-60.27122,50,26.058226
-54.156959,50,26.071693
-57.682589,50,26.085023
-57.325861,50,26.098233
-55.752102,50,26.111804
-60.904066,50,26.533761
-63.51703,50,26.547733
-61.971634,50,26.561404
-60.492778,50,26.575439
-60.341793,50,26.588892
-54.687547,50,26.602231
-50.931826,50,26.616435
-52.628422,50,26.631022
-62.326696,50,26.644716
-59.299043,50,26.6585
-53.171969,50,26.672113
-62.050021,50,26.685494
-53.988619,50,26.699495
-57.838879,50,26.712976
-56.285448,50,26.73849
-55.151322,50,26.752965
-57.548945,50,26.767029
-64.113032,50,26.780993
-49.232588,50,26.79471
-51.646111,50,26.808404
-56.719882,50,26.822865
-53.317419,50,26.836653
-58.823835,50,26.849781
-56.784972,50,26.862792
-54.030417,50,26.876084
-58.83748,50,26.889227
-59.044786,50,26.902328
-59.277475,50,26.915636
-57.214608,50,26.929426
-64.817651,50,26.942535
-56.946174,50,26.955673
-56.926886,50,26.969006
-56.245845,50,26.982385
-64.674087,50,26.99575
-61.066365,50,27.009007
-53.881199,50,27.022592
-60.190505,50,27.036579
-59.092101,50,27.049888
-52.389126,50,27.063279
-53.673428,50,27.076638
-56.522917,50,27.08997
-56.57482,50,27.792463
-56.202818,50,27.813084
-54.835809,50,27.8277
-56.340094,50,27.841989
-60.719894,50,27.855559
-59.402855,50,27.869489
-53.837908,50,27.882905
-53.371424,50,27.896312
-57.608021,50,27.909607
-61.636396,50,27.923049
-49.785916,50,27.937104
-59.578941,50,27.950819
-54.891351,50,27.964412
-59.774889,50,27.977936
-57.858142,50,27.991449
-59.972589,50,28.004964
-60.808408,50,28.018674
-61.180048,50,28.032487
-54.656259,50,28.046133
-54.549662,50,28.062437
-56.253004,50,28.07634
-53.916081,50,28.08989
-62.416226,50,28.103456
-58.56045,50,28.116969
-56.531688,50,28.130866
-58.690499,50,28.144357
-55.398382,50,28.157824
-58.414665,50,28.171528
-53.35629,50,28.184974
-57.989291,50,28.198458
-60.894061,50,28.211854
-52.484202,50,28.225452
-57.608435,50,28.239096
-63.611043,50,28.252399
-52.999043,50,28.265676
-57.955596,50,28.278796
-57.404919,50,28.291832
-60.301839,50,28.305008
-54.684108,50,28.318619
-62.147615,50,28.33261
-58.711473,50,28.345971
-65.391301,50,28.764417
-46.367558,50,28.777475
-59.162992,50,28.790799
-51.516535,50,28.80416
-54.751826,50,28.817574
-57.100577,50,28.830964
-57.134318,50,28.845015
-58.626609,50,28.858897
-58.018877,50,28.872543
-59.055429,50,28.885959
-52.328849,50,28.899154
-60.03935,50,28.912681
-59.673894,50,28.926106
-60.577859,50,28.94019
-54.203429,50,28.953792
-56.494555,50,28.967251
-52.005493,50,28.980696
-56.168779,50,29.007528
-57.693346,50,29.021093
-52.456773,50,29.035442
-60.286976,50,29.048663
-55.075274,50,29.062311
-52.220592,50,29.075947
-58.958402,50,29.089315
-62.88394,50,29.102809
-58.826506,50,29.116419
-59.908464,50,29.129882
-64.514215,50,29.14397
-58.068207,50,29.157332
-54.797428,50,29.170689
-59.115747,50,29.184191
-57.539094,50,29.197425
-55.230314,50,29.210938
-52.247982,50,29.224739
-65.023253,50,29.23871
-60.525916,50,29.252052
-45.457524,50,29.265334
-55.704817,50,29.278904
-54.128169,50,29.292293
-56.04078,50,29.305741
-58.765936,50,29.319429
-50.41985,50,29.738007
-52.649006,50,29.751107
-51.165186,50,29.764733
-57.727653,50,29.778216
-57.29873,50,29.791937
-51.294225,50,29.805411
-53.367481,50,29.818868
-54.972176,50,29.832215
-50.963778,50,29.846142
-59.267802,50,29.859697
-48.800189,50,29.873147
-51.119524,50,29.886683
-51.045375,50,29.899986
-55.287979,50,29.913323
-56.033017,50,29.926723
-51.482102,50,29.94058
-57.177955,50,29.954091
-49.818218,50,29.967607
-51.995333,50,29.981078
-58.584941,50,29.994366
-60.172243,50,30.007655
-57.294837,50,30.021062
-59.459196,50,30.034506
-59.575668,50,30.048364
-54.979565,50,30.061757
-58.598492,50,30.075077
-52.068473,50,30.088587
-60.835312,50,30.101829
-46.458535,50,30.115144
-52.845969,50,30.128618
-59.650662,50,30.142643
-58.556748,50,30.15617
-53.980684,50,30.169717
-61.148104,50,30.183179
-59.916504,50,30.196723
-58.655136,50,30.210104
-54.881751,50,30.223369
-57.529415,50,30.237197
-54.533402,50,30.250744
-45.946938,50,30.264091
-55.639289,50,30.680553
-51.314418,50,30.693911
-60.606692,50,30.707295
